4 4
0 0 5 2 0 0 4 G 0 A 0 0 0 D 9 B 
7 F D 0 C 0 0 5 6 0 0 0 A 0 1 2 
0 C 0 4 0 A 2 0 8 1 G 0 0 0 0 F 
6 0 0 0 9 0 0 0 3 5 0 0 0 0 0 7 
3 0 0 C 0 0 7 9 0 0 0 1 0 0 8 0 
0 0 0 0 0 3 1 0 0 F B 2 0 0 6 0 
0 8 0 G F 0 6 0 7 0 C E 2 9 0 0 
5 D 0 0 0 0 0 0 0 0 0 0 0 3 B 0 
0 3 1 0 7 0 G B 0 4 0 0 8 E 0 5 
0 0 0 E 0 8 0 0 5 0 0 0 4 A 0 0 
0 0 F 0 0 0 D 0 0 0 E 0 9 B 3 6 
0 0 0 8 0 5 9 0 A 0 0 G 0 0 0 0 
E 0 6 0 5 0 C 2 0 0 7 0 0 G D 0 
0 5 0 7 0 0 0 D 2 B 8 0 0 0 0 A 
4 A G 1 0 E 0 F C 0 0 3 0 0 0 0 
0 0 C 0 4 1 B 0 0 0 0 0 0 2 7 0 
