4 4
4 9 2 0 0 0 3 0 0 G A 0 0 B 1 0 
0 3 7 0 8 4 0 B 6 0 0 9 0 0 C 0 
0 0 8 1 0 2 0 5 0 0 E 3 6 0 0 9 
0 0 G 0 E 0 D 0 0 8 B F A 0 0 2 
0 0 E 0 0 7 8 G 0 0 6 0 0 0 D 4 
G 0 F 8 0 0 E 0 0 3 2 0 0 0 0 0 
A 7 3 2 C 0 0 9 0 0 0 B 0 0 5 0 
6 0 B 0 0 0 5 0 0 F 4 0 0 E G 8 
C 0 0 0 0 0 0 F G 0 3 2 4 0 6 0 
F 0 0 0 3 0 0 1 A 7 8 0 0 9 0 0 
9 0 0 0 B 6 0 A 5 0 0 0 0 0 0 0 
0 0 0 A 0 D C 7 9 0 0 0 1 0 0 0 
3 2 0 F 0 A 0 0 0 0 C 4 0 7 0 B 
0 1 0 7 0 0 0 2 0 D F 0 0 0 0 A 
D 4 0 0 0 1 0 0 0 0 0 G 5 0 0 0 
0 0 A 0 0 0 G 0 1 E 0 0 3 0 0 0 
