4 4
8 2 0 4 B 0 0 0 0 6 0 F C 0 E G 
0 B C 0 A 5 G 0 3 0 0 0 0 6 2 0 
5 1 6 0 F 0 4 0 0 D G 0 0 0 0 0 
0 0 0 0 0 0 0 9 0 4 0 C 3 0 0 B 
A 0 8 G 0 0 0 0 0 2 0 0 0 D 0 C 
1 0 0 C 0 0 A 0 0 9 0 0 0 7 0 0 
0 0 0 5 D C 0 0 4 7 A B 6 0 1 2 
F D 0 E 1 0 8 0 0 0 3 5 0 0 0 0 
0 8 1 2 0 0 B C 0 0 D 6 0 0 7 0 
0 G 0 0 0 4 7 0 0 0 F 0 0 E 0 0 
B 0 0 0 6 0 0 5 7 0 E 2 0 0 8 0 
0 0 0 0 0 E 1 A 0 0 0 4 F B 9 0 
0 0 4 0 0 1 0 6 G 0 8 0 0 0 0 A 
0 0 5 0 7 0 0 0 9 E 6 0 B 8 0 F 
6 0 F D 0 A 0 0 0 0 5 0 9 0 0 0 
0 0 0 7 0 0 0 D 0 C 0 0 1 3 G 0 
