4 4
0 B 0 5 1 A 0 0 7 3 0 9 0 0 0 6 
0 C E 0 0 3 0 2 6 0 0 0 F 0 7 D 
7 0 3 D 0 4 6 0 E 0 0 C 5 0 G 0 
8 0 0 0 0 0 0 0 0 F G 0 1 0 9 E 
F 0 0 0 0 0 7 3 0 0 0 8 9 0 6 5 
G 0 0 C 0 0 1 0 B 0 0 A 4 0 0 3 
0 E A 0 0 0 4 0 C G 5 F 0 0 0 0 
0 0 8 0 0 6 5 F 0 D 0 0 0 E 0 0 
A 6 G 0 C 0 0 0 1 2 7 0 0 0 8 0 
C 0 0 E B G 0 5 F 0 0 4 2 0 0 A 
4 0 0 0 0 0 0 0 5 0 0 0 D 0 1 9 
0 5 0 F 3 1 0 0 0 0 0 E C 0 0 0 
0 0 4 0 0 5 0 6 0 A C 7 0 3 0 0 
5 A 0 0 0 F 2 C 0 0 3 0 0 6 0 4 
0 9 0 3 E 0 0 1 0 0 0 0 0 0 0 0 
0 F 0 2 0 0 0 G 0 0 0 5 0 D 0 0 
