4 4
A 0 0 7 5 0 3 B 4 0 9 0 0 0 1 0 
B 0 2 0 0 7 9 0 0 0 0 0 0 0 5 6 
3 0 0 0 1 0 0 0 0 2 G 8 A F 0 D 
D 0 0 5 A 0 4 0 0 0 0 7 C 0 0 0 
7 6 E F 0 0 G 0 5 0 C 0 0 0 A 8 
0 D 3 0 8 0 A 1 0 0 4 0 B G 0 2 
5 A 0 G F 0 0 C 6 0 2 0 0 0 3 0 
0 0 1 0 0 6 0 0 8 0 0 G 0 0 0 0 
0 0 0 D 2 A 0 0 0 0 0 0 7 E 0 0 
0 1 7 0 4 3 0 0 0 0 B 0 0 9 0 0 
F 4 B 0 0 0 0 6 D 0 0 0 0 C 0 0 
2 0 0 0 0 0 C 0 G 0 8 E 5 1 0 0 
0 0 5 0 0 G 0 A F 0 0 0 0 7 0 1 
0 F 0 3 0 E 8 2 0 1 0 0 0 0 B G 
0 7 4 0 0 5 0 F 0 B 0 6 0 0 8 3 
0 G 0 0 0 0 D 0 2 0 E 0 0 6 0 4 
