4 4
0 D 0 0 0 B 0 5 F 0 4 2 0 G 0 0 
6 5 A 0 8 0 4 0 9 7 0 G 3 0 0 0 
0 3 0 0 0 0 6 0 0 0 5 E C 0 0 4 
0 0 8 0 0 C E G 0 0 0 B 0 0 A 5 
2 7 0 9 D F 0 6 0 4 0 0 0 E 5 C 
0 G 5 4 3 1 0 2 8 B F 0 0 0 9 0 
0 C 0 0 B 8 0 0 D 0 0 0 0 2 0 0 
1 0 0 B 0 0 0 0 C 0 0 5 A 0 0 7 
D 0 0 0 5 0 0 0 0 0 0 0 B 1 8 0 
7 0 3 0 0 0 F 0 A 2 0 0 9 0 0 0 
0 1 0 2 0 0 C 9 G 0 6 0 F 0 4 0 
0 0 0 0 2 4 0 0 0 0 1 0 7 3 0 0 
9 0 C F 0 0 1 A B G 0 6 0 0 2 0 
3 0 0 A 7 0 0 E 0 0 D 0 0 6 0 1 
0 0 0 0 0 0 0 B 0 3 0 0 0 8 0 F 
0 0 0 G 0 0 8 0 5 0 A 0 0 7 E 0 
