4 4
5 9 G A D 0 4 0 2 0 7 0 0 0 C 0 
0 0 2 0 0 0 0 E 0 0 F C 0 0 A 0 
0 0 E C B 0 0 8 G 4 6 0 0 0 0 0 
8 0 0 0 0 0 G 0 0 3 0 0 B 0 F E 
0 5 8 3 0 0 0 9 E 0 D 6 0 0 0 0 
F B 9 0 4 D 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 C 0 6 7 0 G 0 0 A 5 8 
0 0 0 0 0 0 0 3 4 0 C 0 0 0 0 0 
6 0 0 9 0 F 0 0 0 0 0 1 7 B 8 D 
0 A 0 G 0 0 5 0 0 7 0 D 0 3 0 0 
0 0 D 1 0 7 0 B 5 A 8 0 F C 0 4 
0 0 B F 0 1 0 4 0 0 0 0 5 0 E 2 
0 8 0 0 6 G B F 0 0 9 0 1 0 2 0 
0 0 0 B 9 0 D 0 F 0 0 0 0 0 0 0 
1 4 0 D C E 0 0 0 0 3 A 6 0 7 0 
2 0 6 0 A 0 0 0 C E 0 0 8 D B 0 
