4 4
5 0 0 0 7 0 6 0 0 1 0 F 8 0 0 9 
0 0 2 0 0 4 0 0 B 0 0 0 6 0 0 C 
C 0 0 9 0 0 0 B 0 4 7 A 0 0 0 1 
7 6 B D 0 0 5 0 8 0 C 0 0 0 A 3 
0 0 0 0 6 0 9 0 G 0 0 0 0 0 1 0 
1 F 0 0 0 0 2 4 6 E 0 8 0 G 0 0 
0 0 E C B 8 0 0 D 0 0 7 9 5 0 0 
4 0 0 3 0 0 0 0 0 0 0 0 E B 0 6 
0 D A 0 8 0 0 9 C 2 5 0 0 0 0 G 
0 9 5 0 0 0 0 F 0 G 0 0 2 0 3 0 
0 0 0 0 0 0 0 1 A B 6 0 0 9 0 0 
F 0 0 6 5 C D 0 0 0 1 E 0 0 0 7 
8 G 0 2 0 0 0 7 0 0 0 0 C 0 6 E 
0 7 0 E C A G 0 3 0 0 0 B 0 2 4 
6 0 0 0 3 5 8 E 0 0 0 2 1 A 0 F 
0 0 0 1 0 0 F 0 9 0 0 6 0 3 0 0 
