4 4
0 7 9 D 5 A 0 C 0 0 0 G 3 E B 0 
0 0 4 3 0 7 G 8 0 2 0 0 1 0 0 0 
0 0 0 C E 0 1 0 B 6 0 A 0 9 2 0 
0 0 0 0 0 0 0 0 3 0 0 4 G F 7 0 
0 D 0 0 1 0 0 0 F B A 0 0 0 4 6 
3 F 0 1 0 2 0 0 8 D 0 0 C G 0 0 
0 0 5 0 0 0 0 0 0 0 3 0 7 0 F 9 
C 2 0 G 7 8 0 0 0 0 0 0 D 0 0 0 
B 0 0 0 F D 0 0 0 0 G 0 6 0 E 0 
0 1 0 0 C 5 0 A 0 0 0 E 0 3 9 0 
0 C G 4 0 6 0 0 D 0 0 0 0 A 0 5 
0 0 F A 9 0 7 0 0 1 5 0 4 0 0 0 
0 0 0 0 8 0 3 7 G 9 B 0 F 0 1 0 
G B 0 0 0 0 0 D 2 3 1 6 0 0 0 8 
2 0 7 0 0 4 6 1 0 E 0 0 0 0 0 3 
9 0 0 0 G E 0 0 0 0 0 0 2 0 0 0 
