4 4
0 0 6 0 4 0 9 0 0 0 B 0 D 8 2 0 
0 0 0 0 3 2 0 D 8 0 1 0 0 0 0 0 
0 E 0 A 0 F 0 0 0 D 0 5 0 0 0 6 
0 0 0 0 C A 0 8 0 G E 0 0 0 0 0 
8 0 E 5 D 0 0 9 3 0 0 0 A 0 C 0 
0 2 1 0 0 G C 0 0 0 0 0 0 0 8 0 
0 0 0 F 0 0 0 3 1 0 6 C 0 E 7 5 
D 0 7 3 0 B 5 F 9 E 0 0 1 6 0 0 
5 0 0 4 0 1 0 E 7 0 C 9 8 0 0 0 
0 0 0 0 0 8 A 0 0 0 0 0 0 9 0 0 
G 6 0 7 0 0 0 0 0 0 3 0 0 4 0 D 
0 0 9 0 0 D 0 0 0 0 0 0 3 7 E G 
7 0 0 D 0 9 6 0 F 0 G 0 E 0 0 4 
1 0 5 0 0 0 8 0 0 7 9 0 2 0 G 0 
6 4 F 9 0 E D 0 0 1 2 0 0 5 0 0 
A B 0 2 0 0 1 C 0 0 D 8 0 0 F 7 
