4 4
9 0 G C 4 1 0 3 0 0 B 2 0 0 0 0 
B 8 0 1 0 2 7 5 0 0 0 0 0 0 0 0 
0 0 0 3 0 B 0 0 4 7 0 E 6 A 0 C 
E 0 0 0 0 0 6 0 3 0 0 9 4 0 B 0 
D 0 B G 7 0 0 0 0 5 C 0 0 0 3 6 
2 0 0 9 A 0 0 G 7 0 0 0 E 0 0 0 
0 7 C 0 0 6 0 0 0 2 0 A 1 0 0 0 
0 A 0 0 1 0 0 B 6 0 F 0 2 7 4 D 
0 B 3 0 9 F 0 4 0 0 0 0 0 5 0 0 
0 0 0 0 0 0 0 A C G 2 0 0 E 7 0 
0 1 5 7 0 0 3 0 0 0 8 0 A 0 0 0 
0 0 0 0 G 0 2 C 0 0 0 4 0 D 6 3 
5 G 0 0 E 3 F 6 D 0 0 0 0 2 0 0 
8 0 6 0 0 0 5 0 B 0 0 0 0 9 C 0 
0 3 7 2 0 0 0 8 E 0 0 0 F B 0 0 
F 0 0 0 C 0 B D 9 0 1 0 0 0 G 0 
