4 4
0 0 0 6 0 0 B 0 0 0 0 E 1 2 9 0 
0 0 0 D 0 0 F G 0 4 2 0 E 0 0 0 
F 2 0 0 0 8 E 0 6 0 9 A 0 0 7 0 
C 0 1 0 0 0 5 7 0 G 0 0 8 3 A 0 
D A 0 0 0 0 0 C 2 8 0 0 3 0 F 0 
0 C 0 B G 0 0 F 9 0 0 0 0 D E 7 
0 3 G F 0 0 0 1 0 0 A 0 0 0 0 0 
0 0 5 4 0 0 D 9 0 0 B 0 G 0 6 0 
4 9 0 0 0 0 0 0 0 0 0 F 0 0 D 0 
6 5 E 3 0 4 0 D 0 0 8 1 0 7 0 0 
7 0 A 0 0 0 8 6 5 D 0 0 0 C 0 0 
8 0 F 2 9 1 0 A 0 0 6 7 0 0 0 0 
0 0 B 0 8 0 0 4 F 3 0 0 C 0 0 5 
E 0 0 0 5 D G 0 0 B 0 2 A 0 0 6 
9 0 0 0 0 3 0 0 0 0 0 8 7 0 0 0 
3 F 0 0 0 A 9 0 0 1 5 0 0 4 0 B 
