4 4
0 0 0 3 F 0 0 0 0 G 8 E A B 2 C 
0 C 0 8 3 E 0 2 0 0 4 7 1 0 0 0 
0 2 0 0 0 0 0 C 0 0 0 F 0 0 0 D 
1 0 6 D 0 B 0 0 5 C 0 0 F 0 E 8 
C 0 3 0 B 0 0 0 G 0 E 6 4 7 1 0 
0 B F 0 0 0 9 0 0 0 0 8 2 0 0 0 
6 0 1 0 D 0 7 F C 0 0 0 0 3 0 9 
0 0 8 0 G 0 0 3 0 9 7 0 5 C 0 0 
0 0 4 0 8 7 0 0 0 A 3 0 0 5 0 2 
0 0 D 7 0 5 0 6 0 0 1 0 0 0 0 0 
E 0 9 0 4 C F 0 0 0 0 0 B G 0 0 
0 3 0 0 0 0 0 0 0 2 0 C 9 A 0 6 
4 0 0 0 2 0 D 1 F 0 A 0 7 0 B 0 
0 0 7 1 0 9 6 8 0 0 0 0 E 0 D 0 
9 5 B C 7 0 0 0 0 0 0 2 0 0 G 0 
0 0 0 F 0 0 0 0 6 0 0 5 8 0 0 0 
