4 4
B 0 A 0 0 0 C 6 0 9 5 4 7 0 0 0 
E 0 9 0 0 5 8 B 0 C 7 0 0 0 0 4 
6 1 F 0 E 4 0 0 D 0 0 0 0 0 0 2 
0 D 0 8 0 0 9 2 0 0 0 0 0 1 G 0 
0 G 3 7 0 A 0 0 9 F 0 0 1 0 0 0 
0 0 0 0 0 8 0 4 0 6 0 0 0 9 2 G 
1 C 0 2 0 0 0 5 0 0 0 A 0 F 3 0 
0 0 0 5 0 0 0 0 E B 3 1 0 0 4 0 
8 0 7 0 0 0 B 0 0 2 4 5 C 0 0 0 
0 0 B E 0 0 2 0 0 0 A C 8 0 7 0 
0 0 D 0 9 0 0 A 7 0 0 0 0 4 6 5 
0 2 0 0 0 0 0 7 0 1 G 8 0 0 A 9 
A 0 0 0 0 0 5 C 0 0 0 9 0 7 0 0 
C 0 1 0 7 F 0 3 A 0 8 0 0 6 0 0 
G 0 0 6 A B 0 0 0 0 0 0 0 0 1 3 
5 0 0 0 1 2 G 9 6 0 E 0 0 B 0 0 
