4 4
0 D F 1 0 0 0 4 A 0 0 G 0 B 0 9 
7 0 C 0 G B 1 0 D 0 2 0 8 0 6 0 
0 0 0 4 5 0 0 0 9 0 0 0 0 0 0 C 
0 0 0 0 0 0 7 0 0 1 0 4 0 D 0 0 
0 0 A 0 B 1 3 0 0 0 0 0 7 8 5 0 
0 6 0 5 0 D 0 0 0 0 G 7 0 C B 1 
9 7 3 0 0 0 A 2 0 C 0 D 0 0 0 0 
0 1 0 0 0 E G 0 0 0 0 0 0 6 A F 
G 0 0 2 8 5 0 0 3 0 9 E C F 0 A 
A 0 0 9 4 3 C 0 0 0 0 0 0 0 7 6 
0 0 0 0 D 0 0 7 C 8 4 6 9 0 0 0 
B 0 5 3 A 0 2 0 0 0 0 1 0 G E 0 
8 0 0 A 0 0 0 D 0 0 3 0 5 0 9 0 
0 5 7 D 3 2 4 0 0 0 0 0 6 1 0 0 
0 0 G 0 0 0 B 0 0 0 5 0 4 0 D 3 
0 E 4 0 0 0 0 0 B 0 C 0 0 0 0 2 
