4 4
0 6 9 G 0 0 0 0 0 1 0 0 0 8 0 D 
0 0 0 0 A 0 0 E F 0 C 8 0 5 4 2 
0 0 0 0 0 0 B 0 0 0 0 E 0 G 0 0 
0 2 0 0 0 0 0 7 0 0 6 4 0 E C 3 
0 0 C 0 6 0 G 0 3 0 B 9 0 0 E 0 
8 1 D 0 2 0 E 0 0 0 4 0 0 0 0 7 
F 4 0 3 0 0 0 0 D 0 A 0 0 1 B 0 
0 E 0 0 D 0 8 1 G 0 0 6 0 4 5 C 
E 8 0 0 0 A 0 0 4 0 D 0 F 0 0 0 
6 3 0 7 0 5 0 0 E B 0 2 0 0 0 0 
4 0 0 1 B D 0 0 0 A 9 7 0 0 2 5 
2 0 0 0 0 0 0 G 8 0 0 1 9 A 0 0 
7 0 B 2 0 8 0 A 0 0 0 0 6 0 0 0 
1 C A 0 5 F 0 0 0 9 0 0 0 0 8 0 
0 0 4 9 1 G 0 0 5 0 8 0 0 0 0 0 
G F 3 0 9 6 0 4 0 D 0 0 0 C 0 E 
