4 4
E 0 0 4 C 0 8 0 0 0 0 B 2 0 G 3 
5 0 0 0 0 0 0 4 F 7 E 1 0 0 0 0 
8 C 9 2 F 0 A 0 0 0 0 3 0 D 0 B 
0 0 0 B 2 0 G 7 4 6 8 0 0 0 E 0 
0 0 0 0 0 0 3 0 0 0 0 E 0 2 0 0 
0 9 0 0 D 2 0 0 G 0 0 C 0 0 8 1 
0 F 1 0 0 4 0 0 D 0 0 0 E 0 7 0 
3 0 G 8 B 0 E 5 0 0 0 F A 0 0 0 
0 0 0 0 0 6 0 0 0 0 G 0 0 1 4 0 
0 8 6 F 0 0 0 0 0 0 B 0 0 9 0 0 
B 0 C 0 0 0 4 0 2 8 A 0 7 5 F 0 
2 0 0 0 0 F 9 G 5 3 1 0 0 A 0 0 
9 1 0 C 0 D F E 7 0 0 0 0 0 3 4 
0 D 7 0 0 9 0 0 B 0 0 0 G 0 2 0 
0 0 2 0 0 0 0 0 E 1 0 G B 0 6 0 
6 E 0 0 0 A B 3 0 9 0 0 5 8 0 0 
