4 4
0 0 0 0 0 0 1 E 0 A 4 0 9 2 8 0 
0 0 2 F 7 9 0 B 0 0 5 0 0 0 0 4 
0 0 0 8 G 3 0 0 0 E 0 0 D F B 0 
C G 0 0 2 4 0 0 0 0 D 7 0 0 0 A 
0 F 0 C 5 A 0 2 0 0 0 0 0 E 0 9 
4 2 0 0 0 7 0 0 E 0 1 0 0 5 0 8 
G 0 0 3 0 1 E D 0 C 6 0 0 0 0 0 
0 0 0 B 0 0 0 6 4 0 8 0 1 0 0 0 
7 B 0 0 C 0 0 4 1 0 0 A 0 0 0 0 
9 A 6 0 E 0 B 0 0 0 0 2 0 0 F 0 
F 0 D 0 8 6 0 3 9 5 0 0 C 0 A 2 
3 C G 0 0 0 0 5 8 4 7 0 E 0 D 0 
6 0 C 0 0 2 3 9 0 8 0 0 0 G 0 0 
0 0 0 4 0 0 0 0 F 0 G 0 7 9 0 0 
0 9 A 0 0 0 0 C B 0 E 5 0 0 0 0 
0 0 0 0 A 0 0 F 0 D 0 6 3 0 0 E 
