4 4
0 0 0 G 0 1 7 3 0 F D 6 0 B 0 0 
7 0 4 1 0 5 6 0 0 B 0 0 0 3 D 0 
C 0 0 A 0 9 0 0 0 0 0 1 0 0 E 0 
0 0 0 0 C 0 4 0 0 9 0 0 G 0 0 5 
0 0 0 0 0 0 F 0 C D A G 0 0 0 0 
0 B 0 2 D 7 9 1 0 0 6 0 0 5 0 E 
0 8 0 0 E 0 0 4 1 0 0 5 0 0 0 D 
0 0 F 0 0 6 B 8 0 0 0 0 0 0 4 0 
0 A 7 0 0 0 0 G 0 0 B 8 5 2 3 9 
D 4 0 E 9 0 5 0 0 0 0 0 7 0 0 0 
3 0 0 5 0 C 1 0 A 0 0 2 F 0 0 0 
0 0 G C 0 3 D 7 5 0 0 0 0 0 0 A 
8 0 0 6 0 0 0 5 0 0 3 4 0 D 7 1 
4 0 E 0 1 0 0 0 B 0 0 C 0 G 8 F 
0 1 B 0 0 0 C A F 0 9 0 0 0 6 0 
A 0 0 7 F 0 G E 0 2 0 0 0 0 B 0 
