4 4
8 0 0 E 0 F 0 4 0 7 9 0 0 0 0 6 
0 A 9 0 2 0 7 D 8 0 0 G 0 0 3 E 
0 2 1 5 0 0 0 6 0 4 C 0 0 F 0 0 
0 0 B G 0 0 9 E D 0 0 0 0 0 C 8 
5 0 A 1 0 0 E 9 0 0 0 D C 0 4 0 
0 6 4 D 0 0 0 0 0 0 0 0 0 B E 5 
F 0 0 0 0 2 0 1 9 0 6 8 0 7 0 0 
C 0 0 0 0 0 0 7 0 2 0 0 0 0 0 F 
0 G E 0 7 0 0 0 2 D 0 3 1 0 6 0 
0 0 0 0 9 D 0 0 0 0 B 6 0 3 0 0 
A 0 0 0 0 C 6 F 7 5 G 0 E 0 0 9 
0 5 0 C E 0 8 0 0 1 0 0 0 0 0 0 
9 D 0 0 F 1 C 0 0 G 0 B 0 A 0 0 
0 0 0 B 0 0 0 A 0 0 2 0 0 6 F 0 
0 F 0 3 0 8 0 0 1 C 0 A D 0 2 0 
0 8 0 0 4 3 0 2 0 F 5 0 B 0 0 0 
