4 4
3 0 0 F 0 B 0 0 7 0 1 0 0 0 6 D 
0 0 0 0 0 0 D 8 0 9 B G 0 0 0 5 
5 7 0 0 3 6 0 2 D 0 C 0 0 0 G 0 
B 0 0 9 0 0 0 G 0 0 E 0 F 0 0 C 
0 0 C 2 0 3 7 0 0 0 0 F B 4 0 0 
0 0 4 6 0 9 0 0 0 0 0 0 A E 0 2 
0 0 0 0 0 0 E 5 0 0 0 0 7 G 0 1 
F E 0 B A 0 0 0 0 8 6 0 0 0 0 0 
0 0 9 0 8 0 B 0 1 0 0 2 6 0 A 4 
0 F 0 1 0 4 3 D E 0 9 6 C B 0 0 
4 0 0 0 2 0 9 1 G D 0 B 0 0 5 0 
6 A 0 0 0 0 0 0 4 0 0 0 0 3 0 0 
0 0 5 C 4 0 0 0 8 0 0 1 9 D 2 0 
0 8 6 D G E 5 0 0 0 0 0 0 0 0 0 
0 G 2 0 1 0 6 0 0 B 3 A 0 0 7 0 
0 0 0 E B 0 0 9 0 0 0 0 4 F C 3 
