4 4
5 8 0 7 E 0 B 9 0 0 0 G 0 C A 0 
0 0 2 9 0 0 0 0 0 7 0 8 0 0 0 0 
0 F 0 G 0 0 7 1 2 0 0 A 0 0 8 0 
0 4 0 0 5 C A 0 0 0 D 1 2 0 B 0 
F 0 9 2 0 0 1 3 B A 0 0 0 8 0 0 
0 0 0 4 0 0 0 F 1 C 2 0 0 0 0 A 
3 0 0 E 0 2 0 D 0 0 F 0 1 0 0 7 
0 0 A 1 0 0 0 5 D 0 0 0 0 2 E C 
A 0 1 6 D 5 0 0 0 0 0 3 8 0 0 0 
0 0 5 0 6 1 0 C 7 4 0 2 0 0 G 0 
7 0 0 3 0 9 E 0 0 0 0 0 F 0 2 0 
0 C E 0 0 0 0 0 0 0 0 D 0 1 6 0 
0 D 0 F G 0 0 0 8 0 A 0 0 3 7 0 
0 0 7 0 0 0 0 B 9 0 0 0 4 0 C F 
0 0 0 A 0 0 D 0 3 F C 7 0 0 0 0 
0 0 3 C 4 7 F 0 0 1 0 5 A 0 9 0 
