4 4
0 0 1 0 4 E 0 2 0 9 7 5 0 D 0 0 
0 0 B 6 0 0 7 0 3 0 0 4 2 0 0 8 
0 0 3 0 B 0 0 0 0 6 D 0 E A C 0 
0 0 2 0 0 0 0 0 C 0 0 B 0 3 G 7 
F 0 0 3 0 1 0 0 0 0 0 6 A 9 0 0 
0 9 G C 5 0 0 0 0 7 0 D 8 B 0 0 
0 A 0 0 0 0 9 C 5 0 0 0 3 0 2 0 
4 0 0 1 0 0 G 0 0 C 0 0 0 0 0 D 
B 7 4 D C 6 0 0 E 3 F 0 0 0 1 0 
9 E 6 G 0 0 0 7 0 0 4 0 C 0 0 0 
0 5 0 0 0 2 0 3 0 0 6 C 0 0 0 0 
C 3 0 0 A 8 0 0 2 B 0 0 0 0 D 6 
8 D 0 0 7 4 0 F 0 0 0 0 B 0 5 0 
0 4 A 0 3 0 0 5 9 0 0 1 D 0 0 G 
5 0 0 0 0 0 0 0 6 E 0 0 F 8 0 C 
6 0 0 B 0 0 0 8 0 0 2 0 0 0 A 4 
