4 4
0 0 0 6 0 A 9 B 0 3 0 D 0 8 E 0 
3 0 0 0 0 0 F 0 7 0 B 0 4 0 D 0 
0 0 B 5 0 0 D 0 6 0 C E 1 0 A 7 
C A 0 1 G 0 5 0 F 0 0 0 0 2 0 0 
0 5 0 0 0 G A 0 0 0 0 8 0 4 0 1 
8 E 0 0 0 0 0 0 2 0 0 4 C B 7 5 
0 0 0 D 0 C 0 3 1 0 0 B 8 E 0 0 
B 0 0 0 6 D 0 0 0 0 9 A 0 F G 0 
E 0 0 0 3 0 0 G 0 1 0 0 0 6 C 0 
0 0 0 0 0 0 E 1 C D 0 9 A 0 5 2 
0 0 0 B 0 2 4 0 8 A 0 0 0 0 0 G 
4 0 D F 0 0 6 0 0 0 5 2 0 0 3 E 
6 0 0 0 F B 0 5 0 0 8 0 0 D 0 0 
0 1 5 G 0 0 0 0 0 C 0 3 0 0 B A 
2 4 0 0 0 0 8 A E 0 0 G 0 0 0 C 
0 9 0 0 0 6 0 0 0 0 7 0 0 1 0 0 
