4 4
0 A 0 0 D 0 5 1 0 6 4 0 0 7 0 E 
0 0 6 0 0 0 0 0 A 0 0 0 0 B 8 F 
D 8 0 4 0 0 C 0 3 0 7 G 0 0 0 6 
B 0 3 5 0 8 0 0 0 0 0 C 0 0 2 0 
0 0 0 E A 3 0 4 1 F 0 9 0 8 C 0 
4 0 D 3 0 0 0 5 7 0 0 E 0 0 A 0 
0 0 7 A 6 0 1 C B 0 0 3 5 0 9 0 
2 B G 0 E 0 0 7 0 0 0 D 6 0 F 0 
0 E 0 0 3 7 9 0 0 2 D 0 0 0 0 0 
0 0 0 2 0 0 G F E 0 9 0 8 C 0 4 
0 0 1 0 0 5 0 6 0 0 F 0 A 0 3 0 
A 0 0 7 4 0 0 0 0 0 B 0 E 9 6 0 
0 0 8 0 0 0 2 0 D 0 5 0 B 0 0 0 
C 0 0 0 0 0 0 0 4 E 0 0 0 0 0 D 
9 0 0 0 7 A 0 G 0 1 C F 2 0 0 0 
0 G 0 0 B 0 E 0 0 0 3 0 0 0 1 A 
