4 4
F 0 0 E 0 9 0 0 0 A 0 0 0 0 4 C 
D 0 0 0 0 G 7 0 1 0 8 0 6 E 0 9 
0 2 0 0 0 8 C 3 0 0 9 0 0 7 1 0 
4 0 0 3 2 1 0 0 0 F 0 C 0 0 0 0 
A 0 0 0 5 0 F 0 0 1 2 0 3 0 7 0 
6 0 7 0 C 3 0 A 0 0 0 E 0 G D B 
8 C 0 4 0 D 6 0 7 0 F 3 0 0 0 0 
0 3 0 0 0 0 2 0 D 0 0 B 0 0 9 0 
7 0 0 0 8 A 0 0 0 4 0 0 D 5 2 0 
0 4 B D 7 0 0 G 0 0 0 0 0 6 0 3 
0 G F C 0 E 0 1 0 2 D 0 0 0 0 0 
0 0 5 0 F 0 0 2 8 E 1 0 G A 0 0 
0 0 E B 0 0 1 4 0 0 6 0 7 2 0 5 
0 F 6 7 0 0 A 0 0 0 0 0 0 0 0 0 
0 0 8 2 0 0 9 0 0 0 0 0 E 0 0 D 
0 0 0 G D 0 3 8 0 5 0 9 B 0 C 0 
