4 4
0 E 0 1 0 G 2 D 0 0 0 0 0 3 8 B 
0 B 0 0 0 0 7 0 F 6 0 0 0 E 2 0 
F G 0 2 0 E A 0 7 3 0 5 0 0 0 C 
4 0 0 0 5 0 6 0 8 2 9 0 0 0 0 0 
9 0 8 0 0 F 0 0 0 0 0 0 0 0 B 0 
0 0 0 0 0 0 0 E 1 8 2 0 0 4 3 A 
7 F 4 G 0 0 5 0 0 C 3 A 0 0 D 0 
0 D 0 C 0 0 0 0 0 0 4 0 0 0 6 0 
5 0 B A 9 0 G 0 0 0 0 3 0 0 0 E 
0 0 1 0 D 3 0 2 A E 0 0 9 B 0 G 
C 0 0 8 6 1 0 0 0 0 5 0 0 0 0 7 
2 0 E 0 C 0 0 B 9 0 0 0 0 0 0 1 
A 0 2 E 4 0 0 5 C 0 0 0 0 F 0 9 
B 0 0 0 G 0 8 0 0 9 7 0 0 0 C 0 
0 0 F 3 0 C 9 0 E 0 0 6 0 0 G D 
0 7 6 4 B 0 0 0 0 D A F 0 0 0 0 
