4 4
0 0 0 0 0 4 B 0 0 0 C G F 0 9 A 
E F 0 7 6 0 0 0 8 0 0 0 0 1 2 0 
A 0 8 0 0 2 0 1 0 0 5 0 0 4 0 0 
0 G 3 0 0 0 0 9 2 0 0 A 5 0 0 7 
0 0 A 5 1 0 0 0 C 0 F 0 0 0 G 0 
0 0 0 8 B 0 9 6 0 0 0 3 0 5 1 C 
B 0 D 1 5 0 C 2 0 0 0 0 7 9 0 0 
0 0 0 3 0 7 0 0 6 A D 0 2 0 F 0 
0 0 0 4 0 0 0 F 5 0 G 6 0 2 3 E 
9 A B 0 0 1 0 0 E 0 4 0 0 0 0 8 
0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 4 
0 E 0 6 A 0 8 C 1 0 0 0 0 B D 5 
3 0 G 0 F A 5 0 B 0 0 2 0 D 0 0 
0 0 0 0 8 3 4 0 0 0 0 0 B F A 0 
0 2 0 0 0 0 0 0 0 7 8 4 0 C 0 G 
0 0 1 9 0 C 0 0 0 6 E 0 3 7 0 0 
