4 4
0 0 0 3 0 0 E G A 0 7 0 0 4 C 0 
2 0 0 0 0 7 0 0 0 0 D 5 A 0 0 0 
4 0 B 0 0 2 0 F 9 6 0 0 E D 0 3 
0 0 0 G 6 0 C A 0 0 0 8 0 B 0 0 
5 0 0 7 0 0 4 0 0 F 2 0 1 C 0 6 
D 8 3 0 F E 5 0 0 0 A 0 0 0 2 G 
G E 4 0 9 8 2 C B 0 0 7 0 0 0 0 
F 9 0 0 D 0 0 1 8 0 0 0 0 0 0 B 
0 1 6 F 0 0 0 7 0 0 G 9 5 0 0 0 
0 5 D 0 A 6 0 8 0 0 0 0 0 0 0 1 
9 0 0 0 0 0 0 3 D 7 0 0 8 0 A 0 
0 0 0 0 B 0 1 D 0 4 0 0 0 9 0 7 
A 0 0 0 E D 0 0 0 0 5 3 0 0 7 0 
1 B 5 0 0 0 0 0 0 0 0 0 9 6 D 4 
3 0 G D 0 0 7 0 0 C 0 0 0 0 F 0 
C 0 9 0 0 0 0 5 1 2 0 E G 0 0 0 
