4 4
0 G 3 6 0 B 0 C 7 1 A 9 0 0 F 0 
0 0 0 B 0 2 G 0 0 0 8 0 0 0 C 0 
0 0 D E 0 0 0 0 B G 0 6 2 0 5 0 
0 0 0 9 1 D 0 5 0 0 E 0 0 3 4 0 
8 0 1 G 0 7 0 2 0 0 0 0 0 0 A 0 
0 F B 0 5 0 0 6 8 0 9 0 D 0 0 G 
0 0 2 D 0 0 0 A 0 0 1 0 5 F 0 3 
A 0 0 0 0 C 0 9 5 E 0 7 0 0 0 0 
E 5 0 0 0 9 0 4 2 0 6 0 7 0 8 C 
0 C 0 0 E A 0 7 0 0 0 8 0 D 0 B 
0 8 0 0 B 0 0 3 9 0 0 0 A 1 6 0 
0 4 0 0 0 0 0 0 0 0 0 C 0 0 0 9 
0 0 6 C 0 5 7 8 A 0 0 0 4 0 0 F 
4 0 0 0 2 E 0 0 C 0 0 D 8 6 7 0 
B 0 A 0 0 4 0 0 0 7 3 0 G 0 0 0 
0 0 0 0 3 0 0 0 0 4 F B 0 0 E 1 
