4 4
0 E 0 2 C 0 0 B 5 0 6 0 4 A 0 1 
0 0 1 0 0 E 0 0 8 0 0 0 0 0 0 5 
0 7 9 D 4 0 0 0 2 0 0 0 0 E 0 0 
5 0 A F 0 0 2 0 7 0 0 4 6 8 0 B 
0 0 0 3 B C 0 A 0 5 0 D 0 0 0 0 
1 0 0 C 0 0 0 E 0 0 4 G 0 6 F 7 
7 0 D 0 0 3 0 0 0 0 0 0 0 G 0 9 
0 0 0 6 0 4 1 0 0 0 B 0 2 0 5 0 
0 0 G E 0 0 0 5 4 3 A 1 D 0 2 0 
B D C 0 E F 0 2 0 0 7 0 0 4 6 3 
0 4 3 0 7 0 0 0 G 0 8 B 0 F 0 E 
0 9 2 0 0 B A 6 D 0 0 0 0 0 0 C 
0 0 5 0 0 D G 0 0 0 0 0 0 0 4 0 
0 3 4 A 8 7 0 1 F C 0 0 0 0 0 0 
0 B 0 0 0 0 5 0 0 6 0 A G 0 0 F 
0 6 0 7 0 0 0 0 0 0 0 9 1 0 3 0 
