4 4
0 0 F 8 0 A 5 0 0 0 0 G 1 7 4 0 
9 B E 6 0 3 0 0 5 D 1 0 0 C 0 0 
D 1 0 2 0 9 C 4 0 0 0 0 6 3 0 0 
C 0 0 0 0 7 0 0 0 0 0 3 B 0 0 E 
6 0 0 G 0 0 0 E 0 1 0 7 9 F C 0 
0 9 0 0 4 F 0 A 0 2 8 0 7 0 0 0 
5 0 0 B 0 1 0 D 3 0 0 0 0 G 8 0 
0 0 D 0 0 B 0 0 6 4 0 0 0 0 A 0 
0 0 0 F E C 1 0 0 0 0 0 5 2 0 0 
2 D 0 0 G 0 0 9 0 0 E 4 0 0 0 6 
0 A G 0 F 2 0 0 0 7 0 1 3 D 0 4 
0 0 5 0 3 0 0 0 G 0 D 0 0 0 0 0 
0 F 6 5 0 0 B 3 0 0 A 0 0 9 D 2 
0 8 B 9 0 0 0 C 0 0 2 5 0 0 3 0 
0 2 0 3 0 0 E 0 0 0 0 9 4 6 5 B 
0 E 0 0 0 0 0 0 0 0 6 0 0 0 F 0 
