4 4
A 0 0 8 4 1 0 0 0 C B F 0 E 0 0 
0 0 0 0 0 0 0 2 0 G 6 3 F B 0 0 
0 0 0 0 0 0 0 0 0 D 0 4 5 0 7 C 
0 0 6 G 0 7 0 D 0 0 1 0 2 0 0 8 
0 9 7 0 0 0 B 0 0 4 0 0 0 C 8 1 
5 0 0 B 0 8 6 0 2 F E 0 7 0 0 G 
0 0 2 0 0 0 0 0 3 0 0 8 0 D 0 6 
0 0 8 0 9 C A G 0 0 0 0 0 0 0 4 
0 0 0 4 0 0 7 3 0 1 0 0 8 0 B 0 
0 C 3 0 0 0 0 0 0 0 7 0 6 0 E 0 
0 8 G 0 A 2 0 0 0 0 5 E 0 F 0 0 
6 0 B 0 G 0 E F A 0 2 9 0 0 5 D 
C 0 0 2 F 0 0 A 8 9 0 1 B 7 0 0 
1 A 0 0 0 0 0 4 0 6 0 0 0 0 3 2 
0 G 0 0 E 3 1 6 0 2 0 D 0 0 A 0 
0 7 0 3 0 0 0 0 G 0 0 5 9 0 6 0 
