4 4
F 0 2 7 0 0 5 A 0 3 0 E 0 0 8 0 
0 3 0 0 9 6 B 0 7 0 0 8 0 1 0 G 
4 9 5 0 8 0 3 0 0 F 0 0 7 C A 0 
0 0 0 E 0 0 0 0 0 A 0 0 0 4 F D 
G 4 9 0 0 0 0 0 0 0 7 2 B 0 0 6 
1 0 0 B 0 0 0 0 6 4 3 0 9 0 7 0 
2 0 F 8 0 0 0 0 0 0 1 0 C 5 0 0 
3 0 0 0 0 4 0 0 A 0 0 F 0 E 0 0 
0 7 E G 0 0 0 0 0 0 0 0 5 0 1 0 
8 D 0 0 C E 0 F 0 0 0 6 0 0 0 B 
C 0 0 0 0 0 9 G D 0 0 1 0 F 2 E 
0 0 6 0 0 0 0 5 9 2 0 4 0 D C 7 
0 0 0 0 0 D 0 2 F 0 E 7 3 0 5 A 
6 5 0 0 3 0 0 0 B 0 0 C 0 0 4 F 
0 0 0 0 4 0 F 0 0 0 5 9 0 G 6 2 
7 0 D 4 A 0 0 0 0 0 0 0 0 0 0 9 
