5 5
0 L 3 0 0 0 0 0 N 0 0 1 0 O 0 J K 9 0 0 0 0 5 0 0 
0 0 4 0 0 P 0 0 0 0 0 0 0 0 0 D 0 0 0 0 0 0 2 0 I 
0 0 I 0 0 9 0 B 0 0 A 6 0 0 0 E 0 0 M 0 0 P 0 J D 
0 0 E 8 9 0 1 0 0 7 0 0 J 0 0 0 0 0 L B 6 0 0 0 0 
K 0 0 0 0 4 0 0 0 0 0 0 9 0 B 0 0 H 1 C 0 0 0 G 0 
C 0 0 0 0 3 0 0 0 5 L B 0 0 0 0 2 0 0 0 0 F 0 I 0 
6 0 1 B 0 0 0 P 0 0 0 0 0 0 0 L 0 F 0 0 0 0 M 2 0 
0 0 0 0 0 0 N 0 0 0 0 0 A C 0 0 0 4 0 0 0 0 0 0 0 
2 0 0 0 D 0 0 0 8 0 O 0 0 0 1 0 J 0 0 G 0 0 0 K 0 
0 0 H N 0 2 0 0 0 G 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 
0 N 0 7 0 D I 0 0 0 0 A 0 9 0 0 0 K 0 0 0 0 H 0 0 
0 0 0 0 M L 0 8 0 F 0 0 0 0 0 A O E 0 0 0 0 D 0 4 
0 A 0 0 0 5 0 0 0 N 0 0 L 0 0 0 0 J 0 0 0 0 E 0 0 
0 6 0 0 0 0 0 0 0 0 4 O 0 0 0 0 0 0 0 N 0 0 F 0 0 
0 0 5 0 0 6 0 M 4 0 F 7 0 K J 8 0 2 0 0 0 C 0 3 0 
0 0 0 0 0 O 7 0 0 K 0 0 0 0 0 0 0 0 J 0 F 0 0 H N 
0 7 0 0 3 0 0 0 0 B C 5 4 0 0 G 0 6 0 0 0 0 0 0 0 
F 0 2 0 N 0 0 A 0 0 0 J D 0 0 1 0 B 0 0 0 6 0 0 G 
0 E 0 0 4 8 0 C 0 0 0 9 0 M L I 0 0 0 0 1 0 0 D 0 
1 M 0 G 0 I 0 2 0 0 0 N 0 H E 5 0 O 0 3 0 9 0 7 0 
J 2 0 0 O 0 K 0 0 0 0 0 0 0 0 0 8 0 0 0 5 0 0 0 0 
I 0 0 5 1 0 6 0 0 O J 2 0 0 0 C 0 0 G 0 0 0 0 0 0 
0 0 A 0 B 0 0 0 D 1 0 P 0 0 M 9 N 0 K 0 0 I 0 0 O 
0 0 0 0 F B 0 E 0 0 0 0 0 0 0 0 L 0 7 0 0 M 0 N 0 
H 8 0 0 0 0 0 0 J 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P E 
