5 5
L H G 9 P 0 0 N 0 6 D 0 0 K 7 0 B M 0 8 0 0 0 0 0 
0 0 0 N 0 0 L 0 0 0 2 0 H E 0 0 0 D A K 0 M 0 C 0 
0 0 0 0 0 O 0 0 2 0 M 6 0 G 0 0 0 0 0 0 L 0 0 I 0 
0 0 K A 0 0 0 1 I 0 0 B 0 0 0 0 0 0 0 N 0 0 0 0 0 
0 0 0 0 F 0 0 0 0 K P 0 0 0 0 0 0 0 0 0 0 O 1 9 0 
4 0 0 0 0 0 0 K J 0 0 0 0 0 0 I 0 0 L 0 0 0 0 N 0 
0 0 C 7 0 0 0 5 0 0 0 0 E M 0 0 0 2 D 0 G L 0 0 1 
0 L 0 B 0 0 A 0 0 I 0 0 0 0 0 0 0 5 4 0 0 0 F 0 O 
0 0 9 0 0 0 O G 4 0 0 0 N 0 0 0 6 0 0 0 A 2 0 0 0 
0 0 0 0 0 E 0 0 M 1 6 0 0 C 0 0 3 0 0 A 0 H P 7 0 
0 E 0 0 0 0 0 0 7 0 0 C 0 0 D B 0 6 0 0 0 0 0 0 L 
0 0 0 0 0 P E 0 3 0 N 0 L 0 0 H 0 0 0 0 B 0 C 0 F 
0 0 0 0 M 4 8 0 0 0 0 0 3 0 O K 0 0 0 0 0 P 0 0 0 
5 0 0 F 0 G 0 0 K 0 A 0 0 0 4 0 0 0 N 0 2 6 J 1 0 
0 0 A P O 0 C D 0 F E 0 9 0 0 0 0 0 3 0 0 0 0 0 0 
2 0 0 0 0 0 7 P 0 0 0 E 1 0 0 0 0 0 J 0 M 0 0 K 0 
9 O 0 0 0 0 0 6 0 0 0 0 2 L 0 0 0 0 0 G 0 0 0 F 4 
0 0 7 0 8 3 4 0 A 0 0 I 0 0 0 0 0 1 E 0 0 0 0 0 0 
C 0 0 M 0 0 0 0 0 0 0 J 0 D 0 0 0 0 9 P 0 0 0 0 H 
0 0 0 0 0 0 0 0 0 0 0 0 O 0 9 0 0 C 0 3 0 0 0 6 0 
0 0 I 0 H 0 0 0 0 L 0 0 P 0 0 8 0 J 0 0 0 9 0 0 0 
6 0 2 0 0 0 3 0 0 0 I 0 G 0 0 0 4 O 0 0 0 0 0 0 B 
0 0 0 0 0 6 0 4 0 0 0 F 0 0 0 0 M 0 B 0 0 0 O 0 E 
0 0 0 0 0 9 0 J 0 0 0 M 7 0 0 E H 0 G 0 0 0 0 0 0 
M 0 0 C 0 0 0 B D 0 0 K 0 0 J 0 A 0 0 0 0 0 3 0 0 
