5 5
J 7 0 B F 0 0 6 0 0 H 5 0 0 4 1 A 0 8 0 0 L 0 0 G 
2 H C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 A F 0 
0 0 0 0 O 0 I 0 0 0 E 0 P 0 0 0 0 0 6 0 0 0 0 0 C 
0 0 4 0 0 0 K 0 H 0 0 0 J 0 0 0 0 0 0 0 3 1 0 N B 
G 0 0 P 0 M 0 0 E 4 8 L B 0 0 C N 0 0 O I 0 0 9 0 
0 P 3 0 0 0 5 1 2 0 N O 0 0 0 B 0 0 0 I G 0 H 0 0 
0 0 I C 0 0 9 0 0 0 0 0 0 0 0 A 0 0 0 6 0 0 0 7 0 
0 0 7 0 0 0 0 H 0 0 0 0 0 0 5 0 K 0 0 0 0 0 0 0 0 
5 0 D 4 0 B G 0 0 0 0 0 F 0 0 M 0 0 0 0 0 3 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 3 C D 0 0 0 0 0 0 0 0 0 0 0 
0 G 0 0 0 0 4 5 0 0 6 C 0 0 3 0 0 N 0 0 0 0 0 0 0 
0 0 0 L 5 0 0 8 0 0 M 0 9 7 K 0 P 0 0 0 C 0 0 0 0 
C 0 0 0 H 0 0 0 0 0 O 0 0 0 0 0 0 0 K 0 0 0 0 8 0 
8 2 0 0 0 0 0 0 0 0 5 0 0 0 B 0 0 0 G 0 M 0 0 L E 
N J 0 0 0 2 0 0 0 0 0 0 0 0 0 I F 0 0 0 5 0 0 0 3 
0 0 0 0 0 0 0 0 4 G 0 0 N J 0 0 0 0 0 D L 0 0 0 0 
0 9 H 0 0 0 0 3 K 0 0 0 0 5 I 0 0 6 2 7 0 0 M E O 
D 0 0 I 0 9 0 0 0 0 0 0 0 0 0 N 0 0 0 P 1 0 0 0 0 
0 0 0 0 0 F 0 0 0 E K 0 0 0 0 0 H 0 0 A P 0 0 0 0 
0 0 L 0 N 0 0 0 0 0 0 F 0 0 6 J O E 0 1 0 0 0 0 5 
M 0 N 0 7 0 H 0 0 D 4 I 0 0 0 G C 0 0 E 0 9 0 J 0 
0 F 8 0 0 L 0 0 0 0 0 0 0 0 7 P B 0 I 0 0 0 0 6 0 
0 0 A 0 0 J 0 B 0 0 C K 0 0 0 8 0 9 0 0 0 0 0 0 2 
L 0 B K 0 6 7 9 G 0 0 0 0 0 0 0 0 0 0 0 A P 0 I 0 
0 0 9 D 0 K 0 I 0 0 0 0 G 0 E O 0 0 0 0 0 0 L 0 H 
