5 5
H 0 E 9 0 M 3 0 0 0 0 A 0 0 0 0 0 0 4 7 0 K G 2 N 
6 0 0 0 0 0 0 F 8 0 0 0 0 0 0 0 0 0 J P 0 1 0 0 0 
0 0 C 0 0 0 0 0 0 0 0 G I 0 B 0 0 0 0 E 0 0 P 0 0 
P 0 N 0 B 0 0 0 0 5 2 0 C 0 0 9 0 0 8 0 0 0 0 0 0 
2 0 0 0 0 0 0 I O D 0 0 0 F 0 G 0 1 0 0 6 0 0 0 0 
1 0 H 0 4 0 F 0 K 0 B 0 8 0 L 0 0 0 0 2 0 M 0 0 P 
0 2 6 0 0 A 8 0 0 0 M 0 4 H N 0 0 0 K 0 0 O 0 J 0 
0 0 0 0 0 0 0 0 0 0 K 5 0 0 2 0 A 0 0 0 0 3 0 0 1 
O 0 0 I 0 5 0 0 0 0 0 0 0 0 0 C 0 0 0 0 9 0 0 0 L 
0 0 0 0 0 0 I J 1 E 6 0 0 0 0 0 0 N 0 0 0 0 F 0 0 
C 0 0 H 0 0 0 0 0 0 I 0 5 0 A 0 0 0 0 0 N 0 0 0 0 
0 I 0 0 E 0 H 6 0 0 0 O 0 B 0 N J D 0 0 0 7 0 1 0 
0 0 0 0 D 0 B 0 0 0 0 0 0 9 0 E 8 4 5 0 0 0 I 0 G 
0 0 0 0 0 L D 0 0 0 0 4 0 0 0 0 1 G I A 0 B 0 0 3 
0 0 0 2 A 0 0 0 P 0 7 0 0 1 D H 0 0 C 0 4 0 0 0 0 
0 0 0 0 2 0 0 B 0 0 0 H P 0 9 0 0 0 6 M 0 0 3 0 0 
K 0 0 0 7 0 0 C 9 J 0 0 0 3 0 0 0 0 1 F 0 D 0 B 0 
0 C 0 0 0 0 0 0 0 8 0 F 0 0 0 0 0 0 0 0 H 0 4 0 0 
F 0 9 0 0 O N 0 0 G D B 0 0 0 0 0 0 E 0 P 0 0 0 0 
0 0 0 0 0 0 0 0 L 0 0 0 0 0 0 0 H 0 7 B 0 6 5 0 2 
0 0 0 C K 0 0 L 0 0 0 0 2 0 0 0 B 0 0 0 0 0 0 0 J 
5 9 0 O 0 0 0 0 0 0 0 0 0 0 0 0 0 J 0 0 I 0 0 0 0 
0 0 A 0 0 7 0 D 0 0 0 0 L 0 8 0 3 0 0 C 0 4 N 0 0 
0 0 0 0 0 0 5 P 2 0 9 0 0 0 0 L 0 6 M 0 1 0 E 0 0 
0 N 0 M 6 0 0 0 0 0 E 1 0 7 0 0 0 0 0 0 5 0 0 0 0 
