5 5
0 4 0 9 0 N P 0 I 0 5 0 0 0 C 1 2 0 0 L 0 0 0 0 0 
0 0 0 0 0 0 O 0 0 J 0 0 P 3 0 0 0 0 0 N 0 0 0 0 0 
0 0 0 0 3 0 0 0 0 0 B 0 J L 0 0 0 0 0 0 0 0 0 2 0 
0 F E A 0 0 1 0 0 0 0 0 H 0 2 I 0 5 0 8 0 J 0 0 P 
0 0 P 7 0 4 M 0 0 0 0 0 0 O 0 F 0 0 B 0 N 0 3 L I 
0 7 I G N 0 0 0 0 0 0 C 0 B 9 0 0 O K 0 0 0 L 0 0 
0 0 0 J 0 0 6 1 4 0 0 0 K 0 0 0 0 0 0 E F 0 0 B 0 
0 P 0 E 0 0 0 9 0 L 0 0 0 D 1 0 J 0 8 0 0 0 0 0 0 
0 0 0 0 0 7 0 0 0 0 0 2 0 0 0 M A 3 0 0 0 1 0 0 0 
0 0 L 0 5 0 0 0 O 2 H 0 0 0 J 0 0 0 F 0 9 0 0 8 0 
0 C 0 B 0 0 0 0 6 0 0 3 0 0 0 O N K 0 M 0 0 0 0 2 
0 0 0 0 8 1 0 0 0 0 J 0 0 0 5 0 I 0 G 3 0 0 O M 0 
0 0 0 P 9 0 0 0 0 F 0 O 6 0 0 0 0 0 0 A 0 E 0 0 0 
0 0 4 3 0 C 0 E 0 0 0 0 N 0 0 L 0 0 0 0 7 I F K 0 
0 0 K 0 0 0 0 0 8 0 0 0 E 0 0 0 0 0 0 0 0 0 0 0 0 
0 9 0 0 B 0 0 0 0 0 4 P 0 0 0 0 C 0 0 0 L 3 A D J 
0 0 0 0 0 0 0 0 0 0 0 5 8 0 0 H 0 0 0 0 0 7 0 0 C 
1 0 D 0 0 0 0 0 0 0 0 0 0 0 0 A B 0 0 0 0 9 0 0 4 
M 0 0 0 0 0 0 L 0 0 0 0 G 0 0 0 0 1 0 0 0 0 0 0 0 
I G 0 0 0 2 0 0 0 C 0 N 0 0 A 8 0 0 0 D 0 0 B 0 M 
2 0 8 0 0 0 0 0 0 1 E 0 0 0 0 P K D 0 0 0 N 0 0 0 
0 0 0 F 0 P 0 6 0 A M 0 B 0 0 0 0 0 H J 0 L 0 0 O 
O 0 C 0 0 0 D 0 0 9 7 0 0 8 K 0 4 0 0 6 5 F 2 0 0 
0 0 0 0 4 0 L 0 0 0 0 0 0 0 H 0 E 0 0 0 0 6 0 0 7 
0 0 0 0 0 0 0 0 0 0 G 0 5 N 4 0 0 0 M 0 C H 0 0 B 
