5 5
0 G 0 0 0 0 0 O 0 3 7 0 0 0 F 0 1 0 0 N 0 0 M 0 E 
0 0 0 7 4 0 0 K 0 0 P D I 0 0 H 0 0 0 0 0 0 0 0 L 
0 0 P 0 1 0 0 0 L D M 0 8 0 6 0 0 0 0 0 C 0 2 0 0 
0 0 0 0 5 0 0 0 0 I 0 0 C 0 N 2 0 0 0 0 J 0 0 0 H 
H 0 0 D 0 0 1 0 0 0 0 3 0 0 G 0 L 0 0 0 5 0 0 0 0 
0 0 0 0 0 4 0 L 0 0 0 0 A 9 0 C 0 0 0 0 7 0 0 0 0 
2 0 0 0 0 E 0 0 0 0 0 C 5 0 7 N 0 0 0 0 0 0 0 3 0 
K 0 8 0 0 G D 0 0 0 0 0 M N 0 3 0 0 6 0 0 0 0 0 J 
0 7 0 M A N 0 0 0 B 0 K G O 0 0 2 E 5 1 L 0 I 0 0 
9 0 0 0 0 0 7 P 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 4 D 
0 0 H E 0 0 0 0 0 M 0 0 0 0 0 0 O 4 0 C 0 P 0 0 0 
A 0 0 0 0 I N 6 0 0 O 0 0 0 8 D 9 0 0 0 M 0 0 B 0 
0 0 0 3 0 0 0 0 2 0 0 J 0 M 0 5 F K 0 A 0 0 0 0 6 
L 0 0 C 0 P 0 0 O 0 0 0 D 0 0 0 0 0 E H 0 9 0 1 I 
0 0 2 0 J 0 0 0 0 5 0 P 0 I H 0 0 M 0 0 0 0 0 A 0 
0 0 D 0 0 0 0 3 0 1 0 L 0 0 0 0 0 G 0 I 0 0 0 9 F 
0 0 1 0 0 0 0 B 0 0 0 0 6 K E 0 0 0 9 F 0 0 0 0 0 
J 0 0 K P 0 I 0 0 G 0 7 2 0 0 0 N 0 0 L 0 E 0 5 0 
0 0 0 A 0 0 0 0 0 0 0 4 0 0 0 0 0 B 0 0 0 6 1 L K 
0 0 0 0 0 0 0 2 H 7 B 0 0 F 0 0 0 0 0 0 0 0 G J 0 
E 3 G 0 0 0 0 M 0 0 9 0 0 0 0 0 0 0 0 4 H I 0 0 0 
0 N 0 I 0 0 0 0 0 K 0 B 1 0 0 P 7 0 0 O 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 K 0 C 0 0 D 0 0 0 G 0 
0 0 0 0 0 7 9 E 0 0 0 0 0 0 A 6 0 0 M 3 4 0 0 0 0 
0 0 0 H 0 0 0 A 3 0 0 0 7 E 0 0 0 0 0 2 0 0 0 0 0 
